tweet_text,label,type_of_disaster,hashtags,clean_text
appeal effectees flood number face pakistan initiate relief effo render service repeat,1,flood,,appeal effectees flood number face pakistan initiate relief effo render service repeat
brookeperrin kinda ve get itch need scratch soa thing eh,0,not disaster,,brookeperrin kinda ve get itch need scratch soa thing eh
hey check moviekangzupdate spider man swing houston hurricane shelter cheer misplaced fb lzfykl n,1,hurricane,['moviekangzupdate'],hey check moviekangzupdate spider man swing houston hurricane shelter cheer misplaced fb lzfykl n
definitely way money didnt smoke dl,0,not disaster,,definitely way money didnt smoke dl
gas price number cent,0,not disaster,,gas price number cent
superwiki welcome nightmare mt newsbrisbane grey wolf spider esco young flood jandowae australia,1,flood,"['jandowae', 'australia']",superwiki welcome nightmare mt newsbrisbane grey wolf spider esco young flood jandowae australia
desperate search continue quake survivor guatemala,1,earthquake,,desperate search continue quake survivor guatemala
news senate oveurn obama s veto number bill,0,not disaster,,news senate oveurn obama s veto number bill
user doctor centro medico pueo rico perform surgery dark use cell phone number,1,hurricane,,user doctor centro medico pueo rico perform surgery dark use cell phone number
user get message away china twitter repeat,0,not disaster,,user get message away china twitter repeat
hurricane dorian fuck get car tint hair do,1,hurricane,,hurricane dorian fuck get car tint hair do
emergency number maringph please,1,flood,,emergency number maringph please
full suppo go maxinelet s unite worldwidestay unite everyone amp spread missuniverse philippine htt,0,not disaster,,full suppo go maxinelet s unite worldwidestay unite everyone amp spread missuniverse philippine htt
send prayer people queensland new south wale deal flood water double whammy people deal,1,flood,,send prayer people queensland new south wale deal flood water double whammy people deal
dr gupta help quake victim s surgery patient pour nepalquake cnn homepage t co,1,earthquake,,dr gupta help quake victim s surgery patient pour nepalquake cnn homepage t co
flood hit queensland foam car appear nowhere,1,flood,,flood hit queensland foam car appear nowhere
gov scott county aggressively prioritize debris clean swfr irma,1,hurricane,,gov scott county aggressively prioritize debris clean swfr irma
offense literally psychotic company ask resume make manually fill applica,0,not disaster,,offense literally psychotic company ask resume make manually fill applica
nearly coral reef die wildfire heat wave sweep planet annually interplay drought flooding temperature mean world s food supply become dramatically less secure nymag intelligencer un say climate genocide come bad html fbclid iwar skxt jq xh dtzhty wyw p aqks llhopn zuimba fbclid iwar nhwx pdgnrkvdiid wjer h vb ga ntxkcthkquepndxfteevxw gc,1,wildfire,,nearly coral reef die wildfire heat wave sweep planet annually interplay drought flooding temperature mean world s food supply become dramatically less secure nymag intelligencer un say climate genocide come bad html fbclid iwar skxt jq xh dtzhty wyw p aqks llhopn zuimba fbclid iwar nhwx pdgnrkvdiid wjer h vb ga ntxkcthkquepndxfteevxw gc
ochsnews osaconservation thx host wondeful time osa osapeninsula costarica pen nsuladeosa puntarenas htt,0,not disaster,"['osa', 'osapeninsula', 'costarica', 'pen', 'puntarenas']",ochsnews osaconservation thx host wondeful time osa osapeninsula costarica pen nsuladeosa puntarenas htt
hurricane dorian damage surreal car fly away https facebook maine damours post,0,not disaster,['dorian'],hurricane dorian damage surreal car fly away  facebook maine damours post
basement house music yomassiverecords number,0,not disaster,,basement house music yomassiverecords number
flood fury noh india dozen kill lakhs affect ndtv,1,flood,,flood fury noh india dozen kill lakhs affect ndtv
m chodae presbyterian church norwood nj t co rvwiyjyk,0,not disaster,,m chodae presbyterian church norwood nj t co rvwiyjyk
user stand nigga ask money lol lt dey dat repeat,0,not disaster,,user stand nigga ask money lol lt dey dat repeat
lately take l s soon ll bounce backboy frustrating hell know team ll bounce backif real o,0,not disaster,,lately take l s soon ll bounce backboy frustrating hell know team ll bounce backif real o
user bts twt namjoon da number iheaawards bestfanarmy btsarmy bts twt,0,not disaster,,user bts twt namjoon da number iheaawards bestfanarmy btsarmy bts twt
wed mainly cloudy percent chance shower evening risk thunderstorm low,0,not disaster,,wed mainly cloudy percent chance shower evening risk thunderstorm low
dad expect foot water house least t co gzgul x,1,hurricane,,dad expect foot water house least t co gzgul x
user omg lol repeat thank love x,0,not disaster,,user omg lol repeat thank love x
hell yea shit cost joke lmao,0,not disaster,,hell yea shit cost joke lmao
seek elevate shelter immediately warn issue hurricane dorian slam bahamas miamiherald news weather hurricane aicle html,1,hurricane,,seek elevate shelter immediately warn issue hurricane dorian slam bahamas miamiherald news weather hurricane aicle html
pueo rico hurricane maria flood power outage damage youtube,1,hurricane,,pueo rico hurricane maria flood power outage damage youtube
user yeah saw safina match bad love kim still felt bad safina,0,not disaster,,user yeah saw safina match bad love kim still felt bad safina
tesla unlock extra range free supercharging car hurricane dorian s path ift tt zxgryf u know socialmedia car game changer bit ly gamechangerautomotive,1,hurricane,,tesla unlock extra range free supercharging car hurricane dorian s path ift tt zxgryf u know socialmedia car game changer bit ly gamechangerautomotive
life seem take down ups loses win stand tall bold fold believe,0,not disaster,,life seem take down ups loses win stand tall bold fold believe
mom ve fought,0,not disaster,,mom ve fought
number female inmate flee chile prison massive eahquake,1,earthquake,,number female inmate flee chile prison massive eahquake
user paris fashion week t co yfjd number ckt kim slays everything,0,not disaster,,user paris fashion week t co yfjd number ckt kim slays everything
don t wan na shit,0,not disaster,,don t wan na shit
never let fear way achieve dream deltachildren instaquote quoteoftheday disney waltdisney t co blzt zwose,0,not disaster,,never let fear way achieve dream deltachildren instaquote quoteoftheday disney waltdisney t co blzt zwose
huge repeat say number t grader denison mont vanuatu relief bake sale number ews goodkidsdoinggood t co number x,1,hurricane,,huge repeat say number t grader denison mont vanuatu relief bake sale number ews goodkidsdoinggood t co number x
bigwe now trend brisbane t co xlycmge,0,not disaster,"['bigwe', 'brisbane']",bigwe now trend brisbane t co xlycmge
hate second put first,0,not disaster,,hate second put first
user roll tongue least doctor s tongue smile,0,not disaster,,user roll tongue least doctor s tongue smile
m embarrass united fan stance watch admire player ve year https t co,0,not disaster,,m embarrass united fan stance watch admire player ve year  t co
generator hospital die pls rescue people user ust uerm amp pgh hospital user rescueph amp spread,1,flood,,generator hospital die pls rescue people user ust uerm amp pgh hospital user rescueph amp spread
magnitude quake rattle guatemala s coast magnitude eahquake shook guatemala s pacific coastline t co hh gxlvo,1,earthquake,,magnitude quake rattle guatemala s coast magnitude eahquake shook guatemala s pacific coastline t co hh gxlvo
accord dost project noah rubyph make landfall eastern samar,1,hurricane,,accord dost project noah rubyph make landfall eastern samar
perfect guy one know make smile everyday,0,not disaster,,perfect guy one know make smile everyday
people say do interrupt george bernard shaw,0,not disaster,,people say do interrupt george bernard shaw
yeah s thing call star,0,not disaster,,yeah s thing call star
abscbnnews scene tacloban city typhoon rubyph photo take abs cbn s ranulfo docdocan t,1,hurricane,,abscbnnews scene tacloban city typhoon rubyph photo take abs cbn s ranulfo docdocan t
ricky repeat user saba number user geram dgn number,0,not disaster,,ricky repeat user saba number user geram dgn number
worsen food shoage wildfire flood coastline dire prediction next year repo u n s scientific panel climate change pretty grim,1,wildfire,,worsen food shoage wildfire flood coastline dire prediction next year repo u n s scientific panel climate change pretty grim
cnnee reducen la sismo que sacudi costarica y que activ una alea tsunami t co est n z,1,earthquake,['costarica'],cnnee reducen la sismo que sacudi costarica y que activ una alea tsunami t co est n z
surrey saturday s read story august car insurance hurricane ge train handover dlvr pgcx guildfordpic twitter hnwosauunf,0,not disaster,['guildfordpic'],surrey saturday s read story august car insurance hurricane ge train handover dlvr pgcx guildfordpic twitter hnwosauunf
balochistan quake rise death toll many people fear remain wreckage,1,earthquake,,balochistan quake rise death toll many people fear remain wreckage
udonis haslem lone heat player ride hurricane irma,1,hurricane,,udonis haslem lone heat player ride hurricane irma
many prayer huggs go around effect tragic event moore ok god s strength carry u thru,1,tornado,,many prayer huggs go around effect tragic event moore ok god s strength carry u thru
user buffalosabres know great guy,0,not disaster,,user buffalosabres know great guy
awe feel kind happy moment,0,not disaster,,awe feel kind happy moment
ariana grande christmas medley leakgrande youtube,0,not disaster,,ariana grande christmas medley leakgrande youtube
s o user fa cute yu seem coo follow amp ill follow back,0,not disaster,,s o user fa cute yu seem coo follow amp ill follow back
vacavillepolice say hero save dog maybe cat guy great excellent service people need help help legged friend wildfire thank save funny guy put dog police car ask smile,1,wildfire,,vacavillepolice say hero save dog maybe cat guy great excellent service people need help help legged friend wildfire thank save funny guy put dog police car ask smile
costa rica s quake leave little damage show sturdiness nation s structural code user repeat,1,earthquake,,costa rica s quake leave little damage show sturdiness nation s structural code user repeat
spongebob sandy hurricane sandy joke funny sorrynotsorry,1,hurricane,,spongebob sandy hurricane sandy joke funny sorrynotsorry
anti trump protester pepper spray eve inauguration deploraball dc,0,not disaster,,anti trump protester pepper spray eve inauguration deploraball dc
marasigan ndrrmc number province number region experience power number number number number region number rubyph,1,hurricane,,marasigan ndrrmc number province number region experience power number number number number region number rubyph
freddoso lot happen obama last call colorado s governor fire obama fundraiser example t,1,wildfire,,freddoso lot happen obama last call colorado s governor fire obama fundraiser example t
alexpagee maybe region river inhabitable maybe due flood lack food,1,flood,,alexpagee maybe region river inhabitable maybe due flood lack food
sf woman create real time map app aid hurricane harvey rescue relief,1,hurricane,,sf woman create real time map app aid hurricane harvey rescue relief
elianaraquel gg bad end least care little gg dan cause twister don t know wilden idc,0,not disaster,,elianaraquel gg bad end least care little gg dan cause twister don t know wilden idc
airbnb offering free housing hurricane dorian evacuee relief worker https tampabay hurricane offer free housing hurricane dorian evacuee relief worker,0,not disaster,['dorian'],airbnb offering free housing hurricane dorian evacuee relief worker  tampabay hurricane offer free housing hurricane dorian evacuee relief worker
user itsberd popular school whut,0,not disaster,,user itsberd popular school whut
yes get electricity back time watch porn joke guy,0,not disaster,,yes get electricity back time watch porn joke guy
criticocinema servono parole basta solo guardare alleameteosar due vite pi vigilidelfuoco sardegna t co h,1,flood,"['allertameteosar', 'vigilidelfuoco', 'olbia', 'sardegna']",criticocinema servono parole basta solo guardare alleameteosar due vite pi vigilidelfuoco sardegna t co h
help desk technician calgary ab job hire t co tbaddh bxd,0,not disaster,"['job', 'hiring']",help desk technician calgary ab job hire t co tbaddh bxd
updated repo metro noh train derailment number dead union official train operator number year job t co f,1,tornado,,updated repo metro noh train derailment number dead union official train operator number year job t co f
user want pandora princess ring s think everyday,0,not disaster,,user want pandora princess ring s think everyday
like user video user hilarious thug life vine compilation pa number viral,0,not disaster,,like user video user hilarious thug life vine compilation pa number viral
see bae tonight m excited cry,0,not disaster,,see bae tonight m excited cry
user teat,0,not disaster,,user teat
fight nsw fire twitter user user,1,wildfire,,fight nsw fire twitter user user
strong hurricane maria rebuild,1,hurricane,,strong hurricane maria rebuild
live flooding disaster hit australia s east coast t co q rb pi environment eco,1,flood,"['environment', 'eco']",live flooding disaster hit australia s east coast t co q rb pi environment eco
sandyri projoblogs health dept tip food safety generator hurricane sandy arrive bit ly xh opa,0,not disaster,['sandyri'],sandyri projoblogs health dept tip food safety generator hurricane sandy arrive bit ly xh opa
mutuals want talk,0,not disaster,,mutuals want talk
answer least number number gt number hguc,0,not disaster,,answer least number number gt number hguc
chematierra alea imagen tif m s poderoso del planeta haiyan con h,1,typhoon,['haiyan'],chematierra alea imagen tif m s poderoso del planeta haiyan con h
sunnypandhersp flight largely unaffected abflood city effectively close,1,flood,['abflood'],sunnypandhersp flight largely unaffected abflood city effectively close
look ima b drivin practice,0,not disaster,,look ima b drivin practice
s friday th massive flooding flood surge carry car canyon disaster area big as moth taunt cat,1,flood,,s friday th massive flooding flood surge carry car canyon disaster area big as moth taunt cat
sad time queensland flood effect devastate help fellow australian t co rrsysqab,1,flood,"['queensland', 'flood', 'australian']",sad time queensland flood effect devastate help fellow australian t co rrsysqab
wicen involvement flood great flood disaster australian state queensland continue repeat,1,flood,,wicen involvement flood great flood disaster australian state queensland continue repeat
remember actually use precious ny state extra sharp cheddar mousetrap mouse cheese nuke trap,0,not disaster,,remember actually use precious ny state extra sharp cheddar mousetrap mouse cheese nuke trap
need great reliable paint contractor get ta call user cheshire ct,0,not disaster,,need great reliable paint contractor get ta call user cheshire ct
real sma sma car note make tribeca jonas blizzard https instagram p ba xmnmcyb,1,blizzard,"['jonas', 'blizzard']",real sma sma car note make tribeca jonas blizzard  instagram p ba xmnmcyb
cat owner swim life canada flood nbcnewspictures,1,flood,,cat owner swim life canada flood nbcnewspictures
learn legacy catastrophic eruption t co pgxfocghqg newyorker,0,not disaster,,learn legacy catastrophic eruption t co pgxfocghqg newyorker
user haha im kid pretty clever,0,not disaster,,user haha im kid pretty clever
army standby queensland flood crisis t co hieoons brisbanetimes eopiniontv,1,flood,,army standby queensland flood crisis t co hieoons brisbanetimes eopiniontv
thousand people die number pueo rico urge evacuate dam danger,1,hurricane,,thousand people die number pueo rico urge evacuate dam danger
prayer tornado victim light twitter prayforoklahoma,1,tornado,,prayer tornado victim light twitter prayforoklahoma
corseted plane abdomen tonight potentially tomorrow evening well m afraid s repeat,0,not disaster,,corseted plane abdomen tonight potentially tomorrow evening well m afraid s repeat
last night jonasblizzard jonas blizzard snow newjerseysnow fuck second car door pic twitter q uiyxws d,1,blizzard,"['jonasblizzard', 'jonas', 'blizzard', 'snow', 'newjerseysnow']",last night jonasblizzard jonas blizzard snow newjerseysnow fuck second car door pic twitter q uiyxws d
new ntsb base metro noh train data indication brake function properly deadly derailment sunday,1,tornado,,new ntsb base metro noh train data indication brake function properly deadly derailment sunday
typhoon begin blow eastern philippine,1,hurricane,,typhoon begin blow eastern philippine
way wildfire burn expensive house car owner suppo,1,wildfire,,way wildfire burn expensive house car owner suppo
user re talk something do publicly possible p,0,not disaster,,user re talk something do publicly possible p
meanwhile smell mexican flood hall food make kitchen sound laugh contest slam door,0,not disaster,,meanwhile smell mexican flood hall food make kitchen sound laugh contest slam door
hurricane gon blow lil car clean parking lot https twitter miamiherald status,0,not disaster,,hurricane gon blow lil car clean parking lot  twitter miamiherald status
sydney suburb threaten fire grow wildfire threaten western suburb australia s large city t co ldtuet mdc,1,wildfire,,sydney suburb threaten fire grow wildfire threaten western suburb australia s large city t co ldtuet mdc
hurricaneirma leave minimal damage theme park attraction orlando read,1,hurricane,['hurricaneirma'],hurricaneirma leave minimal damage theme park attraction orlando read
tea cup size hail yukon ok mi w oklahoma city ok t co efnngaeh d,1,tornado,,tea cup size hail yukon ok mi w oklahoma city ok t co efnngaeh d
adamhousley share update condition key largo florida hurricaneirma,1,hurricane,['hurricaneirma'],adamhousley share update condition key largo florida hurricaneirma
program language learn game development don t want learn game development cod,0,not disaster,,program language learn game development don t want learn game development cod
get taxi want ride area hurricane think call uber twitter breaking status,0,not disaster,,get taxi want ride area hurricane think call uber twitter breaking status
watch live napa eahquake update california official,1,earthquake,,watch live napa eahquake update california official
user valencekreuz make,0,not disaster,,user valencekreuz make
repeat hurricane sure remind thing human never able control forcemajeure thewonderoftheuniverse,1,hurricane,,repeat hurricane sure remind thing human never able control forcemajeure thewonderoftheuniverse
britt ballin reanbean evan say gon next storm hurricane tymirra s gon big black storm,1,hurricane,,britt ballin reanbean evan say gon next storm hurricane tymirra s gon big black storm
parisvintage hurricannesandy p victim lose life hurricane sandy respect lt,1,hurricane,,parisvintage hurricannesandy p victim lose life hurricane sandy respect lt
solar company devastate learn trump impose number tariff solar panel viually kill solar,0,not disaster,,solar company devastate learn trump impose number tariff solar panel viually kill solar
campfire cigarettes flare amp car accident way human likely sta season s wildfire britishcolumbia probably elsewhere carelessness fire wildlife foresthttps huffingtonpost bc wildfire humans,1,wildfire,"['campfires', 'cigarettes', 'flares', 'humans', 'wildfires', 'britishcolumbia', 'carelessness', 'fire', 'wildlife', 'foresthttps']",campfire cigarettes flare amp car accident way human likely sta season s wildfire britishcolumbia probably elsewhere carelessness fire wildlife forest huffingtonpost bc wildfire humans
many pueo rico coveted item plane ticket,1,hurricane,,many pueo rico coveted item plane ticket
don t want go work today least work go oklahoma prayforoklahoma,1,tornado,,don t want go work today least work go oklahoma prayforoklahoma
job think wouldnt stressful,0,not disaster,,job think wouldnt stressful
bloombergnews zimbabwe face big food shoage drought flood destroy crop bloom bg blxudl bad news,1,flood,,bloombergnews zimbabwe face big food shoage drought flood destroy crop bloom bg blxudl bad news
potential disaster unfold super typhoon bopha make landfall philippine island mindanao,1,typhoon,,potential disaster unfold super typhoon bopha make landfall philippine island mindanao
fraangreco solo il corriere della serum ha apeo con l alluvione sardegna vittime non bastano l della prima p,1,flood,['sardegna'],fraangreco solo il corriere della serum ha apeo con l alluvione sardegna vittime non bastano l della prima p
acute stress trauma common survivor caregiver first responder co worker moore tornado,1,tornado,"['moore', 'tornadoes']",acute stress trauma common survivor caregiver first responder co worker moore tornado
usa today hurricane harvey car wreckage likely bad u s history ift tt glginz paginanuova press,1,hurricane,"['paginanuova', 'press']",usa today hurricane harvey car wreckage likely bad u s history ift tt glginz paginanuova press
user bos,0,not disaster,,user bos
brisbane river decrease slowly thank god qld flood,1,flood,,brisbane river decrease slowly thank god qld flood
dailymirror ton meteorfright mph rock explodes russia injures blast t co v kfpxg russianmeteor,1,meteorite,['russianmeteor'],dailymirror ton meteorfright mph rock explodes russia injures blast t co v kfpxg russianmeteor
costa rica eahquake magnitude damn mayan prophecy,1,earthquake,['earthquake'],costa rica eahquake magnitude damn mayan prophecy
car become flood predictor fast wiper move offer rainfall data good forecasting bit ly iwipqt,0,not disaster,,car become flood predictor fast wiper move offer rainfall data good forecasting bit ly iwipqt
user offering aid add salt injury pakistani people devastation cause flood nothing india,1,flood,,user offering aid add salt injury pakistani people devastation cause flood nothing india
make smile xxxxx ff,0,not disaster,,make smile xxxxx ff
please increase amelia hilary s weight limit nepal tonight etihadairways,1,earthquake,,please increase amelia hilary s weight limit nepal tonight etihadairways
why peaining hurricane sandy movie day tomorrow movie thinkin stepyamoviegameup,1,hurricane,['stepyamoviegameup'],why peaining hurricane sandy movie day tomorrow movie thinkin stepyamoviegameup
canberra teen zoe marshall find safe well island vanuatu hit cyclonepam,1,hurricane,,canberra teen zoe marshall find safe well island vanuatu hit cyclonepam
justin bieber meet young typhoon survivor tacloban philippine wow man good hea afpphoto,1,hurricane,,justin bieber meet young typhoon survivor tacloban philippine wow man good hea afpphoto
look come run s already dark,0,not disaster,,look come run s already dark
awkward af d user d user foh d lmfaoooo know,0,not disaster,,awkward af d user d user foh d lmfaoooo know
user sexy prego woman world s mine,0,not disaster,,user sexy prego woman world s mine
user take ur as class repeat,0,not disaster,,user take ur as class repeat
want know trend tuesday edmonton t co eukoxjpvfb,0,not disaster,,want know trend tuesday edmonton t co eukoxjpvfb
s zero water find barely food shelf hurricane tropical storm don weaken m screw,0,not disaster,,s zero water find barely food shelf hurricane tropical storm don weaken m screw
katesauce calgary flood s sad,1,flood,,katesauce calgary flood s sad
video young dolph takin chance,0,not disaster,,video young dolph takin chance
eahquake severe damage kathmandu tragic loss life,1,earthquake,,eahquake severe damage kathmandu tragic loss life
colorado brewery bank flood st vrain river survive help malt b huffingtonpost smallbiz t co xmfc etm,1,flood,['smallbiz'],colorado brewery bank flood st vrain river survive help malt b huffingtonpost smallbiz t co xmfc etm
hbd best froomie girl know silence entire jimmy john love much ma ht,0,not disaster,,hbd best froomie girl know silence entire jimmy john love much ma ht
helicopter deploy rescue flood victim australia businessweek,1,flood,,helicopter deploy rescue flood victim australia businessweek
planet fucking beautiful,0,not disaster,,planet fucking beautiful
people die hurricane decent human provide shelter asshole charge,0,not disaster,,people die hurricane decent human provide shelter asshole charge
powerful eahquake hit iran iraq devastating picture,1,earthquake,,powerful eahquake hit iran iraq devastating picture
make recovery first priority life florida irma,1,hurricane,,make recovery first priority life florida irma
xnnxsue sghaze repost pls take note t co ezcugp xgc,0,not disaster,"['sghaze', 'repost']",xnnxsue sghaze repost pls take note t co ezcugp xgc
strong,0,not disaster,,strong
stand united suppo many people lifeline thank help pueorico hurricanemaria,1,hurricane,"['puertorico', 'hurricanemaria']",stand united suppo many people lifeline thank help pueorico hurricanemaria
stuff forever number website gorgeous hate skint,0,not disaster,,stuff forever number website gorgeous hate skint
rain already colorado look armageddon flagstafffire,1,wildfire,,rain already colorado look armageddon flagstafffire
calgary zoo flood mt user staff member spend weekend sit bobcat repeat hold rifle making sure hippos didn t,1,flood,,calgary zoo flood mt user staff member spend weekend sit bobcat repeat hold rifle making sure hippos didn t
nbc news repoer actually say see many car road middle fucking blizzard,1,blizzard,,nbc news repoer actually say see many car road middle fucking blizzard
repo say least number die flood nepal n india repeat,1,flood,,repo say least number die flood nepal n india repeat
springtime tornado alley stlactivisthub crazy tornado pass man car cell youtu aijg hwu fm,0,not disaster,,springtime tornado alley stlactivisthub crazy tornado pass man car cell youtu aijg hwu fm
tif haiyan deja tres mueos filipinas t co d tyy,0,not disaster,"['haiyan', 'filipinas']",tif haiyan deja tres mueos filipinas t co d tyy
painting paris metro francis luis mora a paint paris metro iag sng,1,flood,,painting paris metro francis luis mora a paint paris metro iag sng
late now say sorry,0,not disaster,,late now say sorry
india s aid nepal name operation maitri indian army name aid nepal operation maitri o repeat,1,earthquake,,india s aid nepal name operation maitri indian army name aid nepal operation maitri o repeat
philippine bopha pablo storm signal number number area,1,hurricane,,philippine bopha pablo storm signal number number area
rosalesj photo day sheldon kennedy help albea flood relief t co lnvpk hy redcrosscanada,1,flood,,rosalesj photo day sheldon kennedy help albea flood relief t co lnvpk hy redcrosscanada
mmda reminder please check timeline late flood update edsa manila southern quezon city area mmda,1,flood,['mmda'],mmda reminder please check timeline late flood update edsa manila southern quezon city area mmda
stress need help guy lol,0,not disaster,,stress need help guy lol
hea go oklahoma devastate watch m pray,1,tornado,,hea go oklahoma devastate watch m pray
gossip hot news best s briefing insured loss nohern california eahquake repeat autofollowback ygnews,1,earthquake,,gossip hot news best s briefing insured loss nohern california eahquake repeat autofollowback ygnews
pa proceeds benefit flood victim southern albea grab ticket see ya t co number xuu,1,flood,,pa proceeds benefit flood victim southern albea grab ticket see ya t co number xuu
user know make smile now didnt repeat smile smile,0,not disaster,,user know make smile now didnt repeat smile smile
cheeledon feunited sincere prayer change whole situation prayforvisayas prayfohephilippines,1,earthquake,"['prayforvisayas', 'prayforthephilippines']",cheeledon feunited sincere prayer change whole situation prayforvisayas prayfohephilippines
user m make pam watch step brother next best watch,0,not disaster,,user m make pam watch step brother next best watch
petsarefound lose chicken hill brisbane qld t co ckeadppr petsarefound qldfloods pls,0,not disaster,"['brisbane', 'qld', 'qldfloods']",petsarefound lose chicken hill brisbane qld t co ckeadppr petsarefound qldfloods pls
kyleighhraee stop storm bad look happen ac,1,hurricane,,kyleighhraee stop storm bad look happen ac
ships maiden voyage christen box franzia chardonnay yesterday thanks quake napa valley whitepeopleproblems,1,earthquake,,ships maiden voyage christen box franzia chardonnay yesterday thanks quake napa valley whitepeopleproblems
photo flood water rise australia t co cet xno,1,flood,,photo flood water rise australia t co cet xno
eunhyuk s currently jfk airpo repeat,0,not disaster,,eunhyuk s currently jfk airpo repeat
grind hard repeat pray harder repeat,0,not disaster,,grind hard repeat pray harder repeat
daniellaxoxo s happen live m shore shit get school monday tuesday,1,hurricane,,daniellaxoxo s happen live m shore shit get school monday tuesday
post number photo facebook album paw chicago rescue number pet oklahoma,1,tornado,,post number photo facebook album paw chicago rescue number pet oklahoma
t joel osteen s excuse hurricane harvey,1,hurricane,,t joel osteen s excuse hurricane harvey
finally decide grill hot dog run propane way fuck u hurricane sandy icandothatright,1,hurricane,['icandothatright'],finally decide grill hot dog run propane way fuck u hurricane sandy icandothatright
otto galindodw socorristas hondure os auxiliar damnificados por el sismo esta ma ana guatemala gracias hermanos catrachos,1,earthquake,,otto galindodw socorristas hondure os auxiliar damnificados por el sismo esta ma ana guatemala gracias hermanos catrachos
tax help business hit harvey irma canadian payroll repoer payroll,1,hurricane,,tax help business hit harvey irma canadian payroll repoer payroll
great block lebron kcp,0,not disaster,,great block lebron kcp
asia propane naphtha spread turns positive propane surge harvey havoc,1,hurricane,,asia propane naphtha spread turns positive propane surge harvey havoc
okay ve problem dania past right now don t time establish new contact,0,not disaster,,okay ve problem dania past right now don t time establish new contact
ocean city think jersey summerwhitexo t co xh cvfc,0,not disaster,,ocean city think jersey summerwhitexo t co xh cvfc
mukha kaloev calgary flood bad decade t co pz jncx cl,1,flood,,mukha kaloev calgary flood bad decade t co pz jncx cl
user visit goon squad bet ve already read,0,not disaster,,user visit goon squad bet ve already read
